regime,acq,seed,round,context_size,var_a,err_a,pred_rmse,logdet_A,dlogdet_A,cos_ainv_top,cv_ig,gap,acq_score
E1_wellposed,leverage,1022,2,8,0.0006229984445389842,0.2528237212445795,1.1369752657807302,35.103437718733524,5.8604247017383315,0.530707137686742,0.853147405466126,0.2522007228000405,0.2307789421760375
E1_wellposed,leverage,1022,3,9,0.0006203081873802174,0.22629347570233804,1.222674778327175,40.565647382262306,5.462209663528782,0.6104633735821363,0.9844472092766072,0.22567316751495783,0.2185829945978109
E1_wellposed,leverage,1022,4,10,0.0006182936951049755,0.27746383199076163,1.026093651369285,45.960752126051815,5.39510474378951,0.6344617894257364,1.11840350842061,0.27684553829565667,0.16954625795042066
E1_wellposed,leverage,1022,5,11,0.0005947245045303907,0.5255672503642631,0.3151599539173236,51.05124106698815,5.090488940936332,0.5680001826672559,1.2333016141102882,0.5249725258597328,0.14191988631146463
E1_wellposed,leverage,1022,6,12,0.0005356633372537735,0.6555832787980373,0.3435313240611486,55.93622272277472,4.884981655786575,0.6622931336167838,1.4145633583118098,0.6550476154607836,0.13608544966762884
E1_wellposed,leverage,1022,7,13,8.97697876422567e-05,0.17567256182547597,0.0498273285334549,60.77349252485506,4.8372698020803355,0.6626400622159057,1.258938485429293,0.17558279203783372,0.052222089360158
E1_wellposed,leverage,1022,8,14,8.48844859473676e-05,0.16115777311865775,0.04509049253565057,64.58098511711584,3.807492592260786,0.8562624590664327,1.007604132778482,0.16107288863271038,0.0268600175576974
E1_wellposed,leverage,1022,9,15,7.350409970952932e-05,0.1385962895648818,0.03989263098846516,67.71976341091826,3.1387782938024174,0.6341384338260884,0.7897636364935956,0.13852278546517227,0.0103527050702862
E1_wellposed,leverage,1022,10,16,6.363034996811722e-05,0.18700926666493123,0.05107242034957223,69.95711659192762,2.237353181009354,0.6068033603524,0.637378148808125,0.1869456363149631,0.005926630257987995
E1_wellposed,leverage,1022,11,17,4.5576046526405204e-05,0.1291350752995657,0.03933984107052449,71.70970470332743,1.7525881113998167,0.429850348872456,0.46034026066621114,0.12908949925303928,0.004378660397512847
E1_wellposed,leverage,1022,12,18,1.1628610543843472e-05,0.1030310605214726,0.03415958946825862,73.21784302633891,1.5081383230114795,0.4106074386303162,0.40794093117240854,0.10301943191092876,0.0034706438136888644
E1_wellposed,leverage,1022,13,19,1.1339385600846195e-05,0.08472168372188649,0.033123181771401194,74.54919895250043,1.331355926161521,0.4982914988883725,0.33204353662428165,0.08471034433628565,0.0019025412291240286
E1_wellposed,leverage,1022,14,20,1.0700158801070127e-05,0.09203882469162794,0.0332884551585452,75.47541323868295,0.926214286182514,0.5915345649535761,0.31255886607991035,0.09202812453282687,0.0017736707449238509
E1_wellposed,leverage,1022,15,21,9.542727444512033e-06,0.07837159710854635,0.031088339929616522,76.3597823750484,0.88436913636545,0.4767046445449326,0.2961453614078484,0.07836205438110184,0.0015325914356845859
E1_wellposed,leverage,1022,16,22,9.231827780872983e-06,0.07164613582598345,0.03698554032606517,77.16086611302528,0.8010837379768816,0.49563206392183773,0.28811257752791747,0.07163690399820258,0.001508135755933222
E1_wellposed,leverage,1022,17,23,9.222714895337995e-06,0.07138240803314733,0.03696449716818733,77.95310269328844,0.7922365802631646,0.3730647254941688,0.24912367115926368,0.07137318531825199,0.0014766546308389661
E1_wellposed,leverage,1022,18,24,8.2567557288033e-06,0.07676679668812092,0.03498801290850884,78.73383475857995,0.7807320652915024,0.4230198651177194,0.2213260551996888,0.07675853993239212,0.0011444794910873423
E1_wellposed,leverage,1022,19,25,8.24071380581049e-06,0.0728941540764998,0.034486147347124255,79.38440437298445,0.6505696144045032,0.4707550699483474,0.2057981461964062,0.07288591336269398,0.0010557515715652872
E1_wellposed,leverage,1022,20,26,8.238922288002066e-06,0.07376046325309815,0.03423971351061334,79.99715113463992,0.6127467616554725,0.46480283431952657,0.1993683322663462,0.07375222433081015,0.0009387384473333888
E1_wellposed,leverage,1022,21,27,8.224856037816743e-06,0.07264433594198438,0.03409451223593171,80.55773570068361,0.560584566043687,0.4641775827587466,0.19471838689024165,0.07263611108594657,0.0009144101606591268
E1_wellposed,leverage,1022,22,28,8.12372852289224e-06,0.06386094653243068,0.034076314714776346,81.10712650735313,0.5493908066695212,0.44750803582912796,0.19717964120804596,0.06385282280390779,0.0008947498850683071
E1_wellposed,leverage,1022,23,29,8.05295657753759e-06,0.05557827373319735,0.034485238589512406,81.64737932400949,0.5402528166563627,0.5007634546987771,0.18848958867497495,0.05557022077661981,0.0008779205568599525
E1_wellposed,leverage,1022,24,30,8.033945741369444e-06,0.0574190975826534,0.0343632374844312,82.17974336309075,0.5323640390812585,0.7448098906502043,0.1932084936073954,0.05741106363691203,0.0008548373638094818
E1_wellposed,leverage,1022,25,31,7.963495768621932e-06,0.059397474951689455,0.03433532237783506,82.70118532669765,0.5214419636069039,0.8353421959983095,0.20477741238154396,0.059389511455920835,0.0008094887471185661
E1_wellposed,leverage,1022,26,32,5.284769489089423e-06,0.038993990117829114,0.030778925595002445,83.20081783966941,0.4996325129717576,0.930905008985994,0.21018691307382784,0.03898870534834002,0.0007871793502033771
E1_wellposed,leverage,1022,27,33,5.278321756645512e-06,0.03903484951272551,0.030767090571218483,83.68954475257901,0.48872691290959835,0.27075628391599643,0.19596706668551592,0.039029571190968865,0.0007119530240722495
E1_wellposed,leverage,1022,28,34,5.264701608872992e-06,0.03948961754997726,0.03088190794845505,84.1406000618472,0.4510553092681846,0.40252508697935524,0.18895788719268666,0.03948435284836839,0.0006971593195625094
E1_wellposed,leverage,1022,29,35,5.116835836147775e-06,0.03347234115121589,0.03190374304260068,84.58407775702929,0.44347769518209645,0.3601233431597491,0.18036783918448357,0.03346722431537974,0.0006920718997657964
